index;hl3_0;hl3_1;hl3_2;hl3_3;hl3_4;hl3_5;hl3_6;hl3_7;hl3_8;hl3_9;hl3_10
hl4_0;1000;23.6;25.6;24.2;24.7;26;26.8;28;28.2;28.6;29.1
hl4_1;1000;23.1;25.1;23.8;24.5;25.9;26.6;27.8;28.1;28.5;28.8
hl4_2;1000;22.8;24.7;23.5;24.2;25.7;26.4;27.7;27.9;28.3;1000
hl4_3;1000;22.4;24.1;23;24;25.5;26.2;27.5;27.7;1000;1000
hl4_4;1000;22.2;23.9;22.7;23.8;25.3;26.1;27.3;1000;1000;1000
hl4_5;1000;21.9;23.6;22.5;23.6;25.2;26;27.1;1000;1000;1000
hl4_6;1000;21.6;23.4;22.3;23.6;25;26;27.1;1000;1000;1000
hl4_7;1000;21.4;23.2;22.1;23.5;24.8;26;1000;1000;1000;1000
hl4_8;1000;21.2;23;21.9;23.4;24.8;26;1000;1000;1000;1000
hl4_9;1000;21;22.8;21.8;23.2;24.8;26;1000;1000;1000;1000
hl4_10;1000;20.8;1000;1000;1000;1000;1000;1000;1000;1000;1000
